fid,NAME,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5,HISTO_6,HISTO_7,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_15,HISTO_16,HISTO_18,HISTO_20,HISTO_21,HISTO_23,HISTO_24,HISTO_25,HISTO_26,HISTO_27,HISTO_29,HISTO_30,HISTO_31,HISTO_32,HISTO_34,HISTO_35,HISTO_36,HISTO_37,HISTO_39,HISTO_40,HISTO_41,HISTO_42,HISTO_43,HISTO_44
1,Sachsen,3674,152459,29993,1402,48,2389,12227,1211,59,2837,10009,776842,213,4452,264675,1053,5334,67853,387939,39112,2244,5140,15710,665,0,638,0,1012,297,0,0,2230,24988,0,0,0
2,Bayern,12496,354045,74342,3322,0,6370,8021,834,849,4916,19816,2345606,6668,17147,1416820,18847,15884,422116,1420717,620013,73542,20908,38256,2263,11457,6120,36,1893,13371,0,0,14043,51735,0,0,0
3,Rheinland-Pfalz,3779,126573,26572,1162,202,2908,4396,665,405,593,6178,453489,81129,5636,375744,14678,12474,480690,260534,119984,4851,103,11878,0,43,0,0,346,0,0,0,11551,3080,0,0,0
4,Saarland,932,36761,7491,486,36,145,683,522,93,216,1235,41977,441,1396,64261,1386,695,65440,12768,25806,636,27,1174,0,0,0,0,162,0,0,0,172,484,0,0,0
5,Schleswig-Holstein,1636,97475,15745,355,590,2550,2698,489,149,910,8893,733383,0,381,434169,2568,6880,83975,51653,13686,8935,4386,3722,737,0,24,0,3015,7153,6019,5018,4320,25341,4953,947,10851
6,Niedersachsen,5655,299492,55638,2318,263,4671,5500,2642,340,3033,19957,2200981,0,11720,967224,3357,5854,332294,625330,67495,13108,22355,11503,2087,0,111,0,1768,45004,7767,9724,6265,19277,0,5376,1487
7,Nordrhein-Westfalen,15018,429061,113662,4124,1385,5632,17110,3941,469,11344,25321,1325853,0,2111,568737,9997,12445,396017,367269,55135,5256,5411,47867,0,0,28,0,374,1091,0,0,9266,19811,0,0,0
8,Baden-Württemberg,12905,255936,60430,1420,1360,2364,3738,1016,1007,1831,14080,999898,37599,101689,610403,15886,11472,551084,637367,207704,9669,531,23755,0,0,0,0,1634,3242,0,0,7318,36978,0,0,0
9,Brandenburg,1576,140924,33763,1123,114,4643,14220,1276,511,2244,12558,1105827,0,3593,428731,514,4924,140353,911286,59221,16908,20144,21693,1890,0,1029,0,7917,275,0,0,6444,60086,0,0,0
10,Mecklenburg-Vorpommern,2138,61078,16151,197,736,2425,2881,346,70,649,9870,1188198,0,2417,395388,61,87,189990,279156,32831,5733,5383,6368,164,0,52,0,16968,4478,49,0,441,67327,15029,0,14074
11,Bremen,916,11796,4640,341,1203,154,40,183,25,942,2148,1163,0,0,11775,0,0,759,364,42,159,0,61,0,0,0,0,350,0,0,41,40,565,0,854,0
12,Hamburg,1012,26952,5662,691,1866,891,39,206,235,2955,5118,6916,0,2097,13751,0,55,1825,1017,1497,180,232,425,0,0,0,0,66,83,0,0,266,1169,0,2167,0
13,Hessen,9999,151328,32868,1866,63,3152,2659,1276,160,1305,11250,549552,4297,5763,424621,2896,6292,531041,264898,69138,1808,172,17292,0,0,0,0,279,93,0,0,3290,3888,0,0,0
14,Thüringen,2393,82074,18685,640,0,949,3310,867,101,494,6646,694658,0,2744,222344,1936,8171,179586,332985,27202,7413,40,7820,0,0,0,0,223,0,0,0,119,5396,0,0,0
15,Sachsen-Anhalt,2323,100525,25683,1185,196,1210,6540,1636,134,1311,7110,1138366,380,4475,233302,1719,9563,146068,297389,22734,8056,12736,19885,0,0,176,0,1341,1,0,0,7407,15059,0,0,0
16,Berlin,3631,38867,8905,725,55,468,0,68,40,3266,7450,2556,0,0,2011,60,76,2458,8423,4723,20,56,423,0,0,0,0,79,0,0,0,2050,2519,0,0,0
